PM2.5,PM10,RH
20.31,43.47,86.9
23.24,47.91,85.85
39.05,97.84,78.2
36.33,86.22,75.27
32,68.83,83.39
39.49,72.36,87.98
23.44,60.64,81.49
24.59,56.38,82.24
15.62,43.82,85.89
23.41,57.11,86.49
22.9,53.21,89.62
35.26,73.94,90.31
35.34,76.26,89.38
33.1,76.27,88.02
32.67,80.59,87.03
27.73,73.28,87.5
32.33,71.19,89.78
38.58,83.52,90.94
35.95,61.2,90.42
32.95,62.91,84.91
25.4,48.29,87.64
24.8,43.4,90.03
18.16,38.15,85.16
18.91,49.42,81.44
29.69,64.39,86.51
25.27,59.96,84.14
33.6,69.82,86.92
27.5,57.11,91.5
23.19,65.24,84.52
20.9,65.96,83.03
21.75,61.43,85.49
21.4,54.22,88.67
21.94,61.26,88.96
27.44,72.15,89.01
28.17,80.01,89.58
30.01,74.09,89.12
29.28,77.2,86.55
30.17,97.79,82.54
31.27,97.16,83.11
26.35,96.95,81.03
24.99,82.35,80.68
24.66,86.81,79.44
26.05,76.65,80.67
23.33,63.1,84.76
24.54,75.97,82.59
24.22,78.71,81.14
27.25,83.4,84.42
35.62,112.35,81.99
40.93,137.82,86.02
33.78,90,91.68
34.11,77.06,91.84
35.97,71.49,92.53
42.6,89.2,92.02
30.92,80.16,85.75
24.93,72.34,83.88
32,104.11,80.02
32.78,108.96,77.98
46.72,168.19,76.47
37.66,135.86,76.41
34.65,122.15,74.29
31.83,108.36,75.17
38.27,117.76,70.79
40.17,124.48,69.67
36.01,111.73,67.79
37.11,102.32,70.75
38.74,103.27,73.85
29.68,100.5,69.68
24.95,55.14,85.53
20.47,35.74,91.34
21.66,41.28,95.25
27.82,53.34,92.86
27.29,68.41,90.77
31.61,92.08,81.62
33.51,88.26,81.14
34.01,80.07,87.96
35.39,69.33,89.82
29.34,57.35,91.8
14.83,30.68,96.68
12.66,31.07,93.07
17.32,49.83,86.69
19.04,53.07,83.06
18.82,58.65,76.68
25.41,63.99,83.6
40.67,87.98,90.83
30,66,68
49.24,110.33,75.31
49.3,98.67,74.88
63.55,139.01,66.29
75.39,191.07,55.64
