PM2.5,PM10,RH
83.92,199.12,52.39
70.98,163.43,49.15
54.21,144.49,56.16
43.53,134.99,56.1
41.74,121.86,56.48
38.01,108.35,55.25
50.07,117.94,60.86
49.24,111.3,59.68
53.7,119.27,59.5
53.07,117.48,59.08
50.65,106.56,55.75
49.27,110.95,52.73
58.18,136.02,51.1
58.41,122.22,45.96
52.43,106.26,52.46
55.07,114.79,59.08
66.33,136.1,57.32
64.85,134.38,52.66
64.02,131.62,57.7
72,141.29,59.89
61.21,129.5,52.44
80.11,162.47,53.04
57.74,138.05,46.24
61.95,133.82,42.79
91.81,184.16,44.48
88.03,212.19,43.88
73.17,175.63,41.74
60.99,168.22,42.79
97.97,224.62,47.44
81.96,179.57,50.11
90.57,172.68,47.93
94.26,182.93,51.26
98.48,177.79,49.24
85.97,190.26,46.58
102.74,240.96,48.47
132.19,267.66,49.94
100.26,216.99,46.06
124.12,259.43,49.43
131.9,281.21,54.41
120.11,269.03,52.04
134.49,246.44,51.47
135.52,233.82,52.64
117.76,165.65,43.8
165.07,173.66,51.61
71.05,119.6,48.74
66.45,113.89,48.95
88.85,138.51,54.11
100.83,146.93,56.22
130.38,201.38,59.1
108.69,162.81,56.91
99.09,157.29,56.46
99.12,148.9,59.85
113.68,184.05,59.35
106.89,165.46,55.29
87.7,135.36,53.4
83.7,139.43,52.93
83.92,129.4,67.61
41.79,53.19,90.05
79.25,112.05,86.57
74.86,110.22,91.15
59.77,88.95,89.72
42.34,62.75,86.35
58.52,82.05,88.32
84.23,124.7,80.47
108,146.47,86.12
95.2,128.5,88.67
82,123.15,88.4
86.96,139.05,83.12
50.57,82.5,78.27
52.11,109.23,70.42
54.15,101.78,67.79
55.41,100.99,66.92
51.85,90.55,63.9
49.07,97.8,56.84
58.14,104.81,63.24
73.32,134.6,62.4
110.65,193.2,63.83
93.18,156.97,63.5
46.2,95.06,53
55.18,105.05,56.32
58.41,103.72,52.69
60.75,118.64,54.19
69.26,130.27,58.45
78.23,141.4,58.65
109.34,172.99,60.64
145.1,214.23,65.93
137.7,209.35,64.92
125.29,190.16,64.99
96.71,143.18,67.82
102.34,161.58,68.38
123.77,193.55,69.55
111.28,174.99,69.21
