PM2.5,PM10,RH
22.02,81.25,40.58
21.59,91.4,38.36
27.49,101.16,34.79
24.42,97.31,34.25
22.84,100.29,34.78
35.6,115.6,37.96
39.79,158.72,39.04
23.28,66.24,48.45
26.33,83.23,39.95
38.04,123.43,36.68
37.84,121.94,33.15
44.78,138.32,32.31
29.74,81.86,29.91
30.46,81.53,27.95
34.17,81.56,31.39
23.75,50.01,30.65
34.44,73.12,24.69
38.1,81.61,25.68
29.98,64.45,30.38
26.6,56.72,30.25
28.53,76.29,31.5
28.08,58.07,33.1
21.94,52.66,30.41
23.68,57.1,23.34
30.5,67.91,29.19
24.55,53.67,39.78
26.95,65.22,49.71
16.2,53.77,59.46
16.65,42.55,64.91
16.4,46.66,77.07
29.46,102.27,65.32
27.89,88.46,58.65
17.43,48.17,66.53
21.7,61.22,64.89
23.39,87.18,56.72
21.71,89.11,50.81
21.61,90.94,43.48
21.04,79.84,39.33
19.68,76.58,27.01
30.18,131.09,21.52
36.51,159.85,23.47
31.66,125.9,20.24
23.32,86.79,21.11
18.7,82.4,29.23
20.79,83.11,35.34
19.33,60.23,50.28
21.65,49.8,50.77
24.15,47.41,37.43
23.56,46.52,37.46
25.24,70.79,43.06
21.4,89.12,43.48
25.25,95.52,44.08
25.53,96.62,41.54
20.42,104.67,38.85
23.03,108.2,42.67
20.84,101.77,45.09
20.38,88.78,50.8
21.72,98.79,53.65
25.29,76.16,51.31
28.36,107.5,45.78
27.79,109.27,38.12
29.5,113.51,32.05
25.98,96.84,43.23
25.53,89.43,56.95
24.36,71.15,52.06
31.48,92.74,51.55
29.66,102.6,51.98
30.98,98.16,49.51
31.67,89.71,52.35
28.98,92.75,47.61
19.99,66.72,48.89
19,59.11,50.33
24,74.39,46.71
27.66,106.42,46.78
25.74,93.93,53.29
25.19,92.69,51.28
24.1,103.78,51.79
26.12,108.12,58.26
33.49,137.69,60.05
32.16,118.39,63.49
32.83,107.16,63.26
31.97,97.16,63.51
40.34,103.54,69.7
35.6,97.45,72.8
32.1,61.72,90.27
34.83,85.31,83.37
22.41,60,84.92
27.16,66.98,84.49
25.93,61.38,85.2
25,50.71,91.07
30.55,54.95,86.68
