PM2.5,PM10,RH
34.6,156.29,64.42
27.11,114.05,60.49
31.36,104.55,63.96
29.42,107.22,65.22
49.11,143.56,74.26
40.96,128.73,69.3
30.66,113.74,56.43
32.9,138.67,53.93
41.21,171.05,54.39
39.76,158.12,55.28
57.66,251.97,57.9
34.57,142.22,63.67
49.23,242.41,61.82
36.27,160.73,57.94
49.14,174.63,63.2
34.43,134.89,59.93
31.53,121.02,58.61
29.09,104.25,51.2
33.74,112.42,56.58
38.82,178.11,58.54
43.03,177.98,58.5
35.26,153.27,57.96
50,187.98,63.49
49.29,226.12,68.42
34.52,163.3,62.75
31.67,142.22,87.06
38.03,139.96,84.7
36.02,119.78,71.92
33.51,143.09,60.7
34.58,139.2,77.73
27.46,124.13,77.22
23.24,83.04,64.68
21.82,83.73,48.88
28.31,108.09,51.82
41.71,162.49,52.64
37.43,154.56,50.25
37.44,154.61,46.06
43.33,167.88,52.25
30.05,125.67,39.99
40.66,157.44,46.24
33.02,130.73,40.38
31.9,118.14,42.99
33.36,159.84,49.78
34.76,149.77,40.97
42.28,184.09,45.08
46.65,213.29,49.49
48.17,196.09,48.66
45.15,178.22,48.72
44.17,144.81,49.35
44.44,137.35,45.72
37.36,108.45,38.98
35.18,104.5,33.04
30.75,96.17,38.41
33.72,103.9,44.6
39.01,117.74,41.25
43.14,128.1,42.74
39.7,111.35,38.31
34.14,91.59,36.05
34.08,90.43,32.16
55.06,144.82,36.48
48.07,108.6,38.15
47.53,102.32,39.72
38.16,81.46,38.89
24.68,44.18,50.81
27.36,51.67,48.81
17.08,28.75,50.04
22.26,37.78,45.25
15.6,24.84,43.98
21.82,36.02,39.51
25.59,80.25,35.68
27.26,106.03,34.39
38.19,166.18,34.9
31.84,131.32,35.14
31.33,127.71,35.15
24.37,83.02,44.08
24.04,97.82,48.69
19.71,69.6,53.01
16.91,59.59,60.86
32.6,106.24,60.65
26.1,114.69,51.18
32.34,116.4,47.81
27.33,96.34,46.96
25.24,87.4,47.99
27.35,101.27,47.11
18.15,82.57,36.18
28.68,125.86,33.18
32.88,139.16,33.39
29.07,142.91,29.03
27.09,133.92,37.49
19.94,92.96,43.19
