From Date,PM10,PM2.5,RH,WS,WD,Temp
01-01-2023 00:00,155.75,35.5,70.25,0.65,76.5,
01-01-2023 01:00,172,38,71,0.85,82.75,
01-01-2023 02:00,162.25,39.75,75.75,0.65,75.5,
01-01-2023 03:00,178.75,38.5,79,0.78,71.5,
01-01-2023 04:00,206.75,45.75,81.25,0.38,94.5,
01-01-2023 05:00,204.5,45,81.75,0.9,92.5,
01-01-2023 06:00,211,43.75,82.5,1.73,85.25,
01-01-2023 07:00,214.25,41.5,83.25,1.47,86.25,
01-01-2023 08:00,208,46.25,77,1.35,75.5,
01-01-2023 09:00,209,44.75,64.25,1.35,87.75,
01-01-2023 10:00,178.25,36,55,1.9,101.5,
01-01-2023 11:00,123.25,27.5,49.5,2,112,
01-01-2023 12:00,95.75,20.75,44.75,1.3,113,
01-01-2023 13:00,83.5,22.75,42.75,0.9,162.75,
01-01-2023 14:00,88,21.75,46.25,1.4,116.75,
01-01-2023 15:00,97.5,21.75,49.25,1.65,105.25,
01-01-2023 16:00,97,23.5,52.5,1.38,103.25,
01-01-2023 17:00,94,22.25,56.25,1.18,92.25,
01-01-2023 18:00,112.25,25,60.5,0.95,68,
01-01-2023 19:00,155.5,33.5,61.25,0.8,62.5,
01-01-2023 20:00,196.5,41.25,63,0.8,82,
01-01-2023 21:00,179,41.75,64.25,0.9,82.75,
01-01-2023 22:00,169.75,39.25,65.5,0.65,85.5,
01-01-2023 23:00,158.5,34.75,69.25,0.4,103.5,
02-01-2023 00:00,175.75,36.5,70,0.68,86.75,
02-01-2023 01:00,153.5,35.5,70.75,0.65,116,
02-01-2023 02:00,127.75,35,72.25,0.7,106.75,
02-01-2023 03:00,107,29.5,74.75,0.78,103,
02-01-2023 04:00,100,29.75,75.5,0.65,102,
02-01-2023 05:00,101.5,27,75,0.82,103.25,
02-01-2023 06:00,116,29.75,76.5,0.8,103.75,
02-01-2023 07:00,126.25,31,78,0.65,106.5,
02-01-2023 08:00,151,35.5,69.5,1.1,87.75,
02-01-2023 09:00,155.25,30,57.75,1.5,94.75,
02-01-2023 10:00,137.5,27.5,53.5,1.62,113.25,
02-01-2023 11:00,124,28.25,49.75,1.3,106.5,
02-01-2023 12:00,114,26.25,47.25,1.2,104,
02-01-2023 13:00,111,25.5,44.25,1.3,113,
02-01-2023 14:00,105.5,20.75,41,1.35,114.75,
02-01-2023 15:00,88.25,21,40.25,1.48,100.5,
02-01-2023 16:00,86.5,24,43.25,1.38,84.5,
02-01-2023 17:00,90.25,24.25,48.5,1.43,83.75,
02-01-2023 18:00,98.75,24.25,53.5,1.27,81.5,
02-01-2023 19:00,104.5,23,58,1.23,79.25,
02-01-2023 20:00,101,24,59.75,1.67,81,
02-01-2023 21:00,87,19.25,62.25,1.33,88.75,
02-01-2023 22:00,89.25,22.5,64.75,0.93,99.25,
02-01-2023 23:00,85.75,20.75,65.75,0.95,104,
03-01-2023 00:00,86,21.5,64.75,0.73,90.5,
03-01-2023 01:00,94,24.5,67.5,1,87.75,
03-01-2023 02:00,81.75,19.25,71.75,1.05,79.5,
03-01-2023 03:00,78.25,17.75,72,1.23,94.5,
03-01-2023 04:00,76,21.75,77.5,1.25,98.25,
03-01-2023 05:00,96,26.75,83.5,1.3,86.75,
03-01-2023 06:00,102,26.25,85.75,1.3,86,
03-01-2023 07:00,103.75,28.5,85.75,1.52,92,
03-01-2023 08:00,109.75,32.25,74.5,1.02,98,
03-01-2023 09:00,113.75,31.75,60.75,1.02,96.5,
03-01-2023 10:00,119.5,45.5,54.25,1.4,84.5,
03-01-2023 11:00,114,69,52,2.15,87.5,
03-01-2023 12:00,91,57.75,47,2.22,85,
03-01-2023 13:00,84,38,42,2.12,91,
03-01-2023 14:00,81,25,39.75,1.78,106.25,
03-01-2023 15:00,None,21.25,39.75,1.78,91.5,
03-01-2023 16:00,None,19,49,1.95,91.25,
03-01-2023 17:00,None,28,57.75,2.23,88.75,
03-01-2023 18:00,None,48,60.75,1.85,97,
03-01-2023 19:00,112.33,28,64,1.73,80.5,
03-01-2023 20:00,126,31,66,1.53,85.25,
03-01-2023 21:00,135.25,30.75,66.5,1.2,76.5,
03-01-2023 22:00,139.25,30.25,73.25,1.57,96.75,
03-01-2023 23:00,143.5,31,79.25,1.58,73.75,
04-01-2023 00:00,127.5,31.5,82,1,85.75,
04-01-2023 01:00,124.25,32,82.75,1.02,92.75,
04-01-2023 02:00,111.75,30.25,80.75,1.18,82.5,
04-01-2023 03:00,115,32,81.5,1.18,81.75,
04-01-2023 04:00,108.75,26,83.5,1.15,77.5,
04-01-2023 05:00,113.5,26.75,87,0.9,89.25,
04-01-2023 06:00,130,30,88.5,1.1,83.5,
04-01-2023 07:00,128.5,32.75,89.75,1.2,96,
04-01-2023 08:00,123.25,31.5,84.5,1.72,86.5,
04-01-2023 09:00,119,29,75,1.88,80.75,
04-01-2023 10:00,112.5,36.25,65.25,1.93,85,
04-01-2023 11:00,106.5,58,54,2.75,85,
04-01-2023 12:00,91.5,28.75,42.25,2.73,85,
04-01-2023 13:00,83,22.5,35.75,2.75,88.5,
04-01-2023 14:00,70.75,23.75,36.5,2.55,86,
04-01-2023 15:00,70.25,21.75,37.5,2.38,84.75,
04-01-2023 16:00,71,18.75,41,2.32,82.25,
04-01-2023 17:00,73,22.25,48,2.05,79.5,
04-01-2023 18:00,85,26,54.75,1.53,77.75,
04-01-2023 19:00,114.5,28,59.75,1.18,71.5,
04-01-2023 20:00,145,33,59.75,1.52,79.25,
04-01-2023 21:00,129.25,29.75,59.75,1.48,82.5,
04-01-2023 22:00,114.5,28.5,64.25,1.77,83.75,
04-01-2023 23:00,105,27,71.5,1.67,84.25,
05-01-2023 00:00,106.75,27,74,1.77,85.25,
05-01-2023 01:00,105.5,26.5,77,2.05,84,
05-01-2023 02:00,112,24.25,80,2.1,82,
05-01-2023 03:00,112.5,23.25,82.25,2.08,81.75,
